rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,point,x,y,z
1402415922282893225,,188,,1402415922,273644924,/ecef,,738761.372374,-5498146.72649,3136745.68544
1402415923286707664,,189,,1402415923,277579069,/ecef,,738762.032024,-5498146.60235,3136744.81616
1402415924286704502,,190,,1402415924,276436090,/ecef,,738762.446819,-5498147.39224,3136744.43728
1402415925286601674,,191,,1402415925,277427911,/ecef,,738762.663787,-5498147.77975,3136743.68675
1402415926286554779,,192,,1402415926,277218103,/ecef,,738762.565633,-5498148.35223,3136743.05188
1402415927286499728,,193,,1402415927,277293920,/ecef,,738762.079067,-5498148.35956,3136742.47017
1402415928286401456,,194,,1402415928,277206897,/ecef,,738761.793485,-5498149.45134,3136742.28857
1402415929286375056,,195,,1402415929,277199983,/ecef,,738761.209372,-5498149.69701,3136742.30603
1402415930286195475,,196,,1402415930,277034044,/ecef,,738760.829994,-5498150.31698,3136742.47305
1402415931286146226,,197,,1402415931,276956081,/ecef,,738760.319117,-5498150.5699,3136742.9429
1402415932288031540,,198,,1402415932,277908086,/ecef,,738760.008649,-5498150.76934,3136743.54021
1402415934285946597,,199,,1402415934,276788949,/ecef,,738760.47868,-5498149.90637,3136745.17685
1402415935284938503,,200,,1402415935,276633977,/ecef,,738760.842825,-5498149.71183,3136745.80947
1402415936285785618,,201,,1402415936,276639938,/ecef,,738761.333488,-5498148.79345,3136746.18657
1402415937285783045,,202,,1402415937,276482105,/ecef,,738762.013675,-5498148.19721,3136746.3788
1402415938287693698,,203,,1402415938,278547048,/ecef,,738762.317253,-5498147.25123,3136746.94213
1402415939284596162,,204,,1402415939,275439023,/ecef,,738762.937393,-5498147.09244,3136747.00832
1402415940287555856,,205,,1402415940,278383970,/ecef,,738763.501549,-5498147.36901,3136746.71761
1402415941288456258,,206,,1402415941,279300928,/ecef,,738763.936714,-5498147.65746,3136746.40286
1402415942288426278,,207,,1402415942,279247045,/ecef,,738764.335924,-5498148.1107,3136745.54086
1402415943288286036,,208,,1402415943,279136896,/ecef,,738764.856398,-5498148.37147,3136744.48142
1402415944287242026,,209,,1402415944,278949022,/ecef,,738765.036116,-5498149.01435,3136743.81588
1402415945287191459,,210,,1402415945,277982950,/ecef,,738764.971106,-5498149.36392,3136743.01686
1402415946285053885,,211,,1402415946,275903940,/ecef,,738764.84513,-5498149.96963,3136742.45118
1402415947285999554,,212,,1402415947,276829004,/ecef,,738764.327924,-5498150.21256,3136742.00873
1402415948285944024,,213,,1402415948,276797056,/ecef,,738763.743329,-5498150.27923,3136741.6945
1402415949285962987,,214,,1402415949,276751995,/ecef,,738763.205403,-5498149.90022,3136741.48197
1402415950286770744,,215,,1402415950,277632951,/ecef,,738762.739147,-5498149.75218,3136741.63236
