rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,point,x,y,z
1402416126285961244,,275,,1402416126,276768922,/ecef,,738762.254819,-5498146.54711,3136749.0829
1402416127285924856,,276,,1402416127,276592969,/ecef,,738762.341205,-5498145.73644,3136750.44285
1402416128285772571,,277,,1402416128,276597023,/ecef,,738762.242926,-5498145.61495,3136751.66913
1402416129285701933,,278,,1402416129,276554107,/ecef,,738762.315378,-5498145.64115,3136752.3105
1402416130287674048,,279,,1402416130,278493881,/ecef,,738762.359197,-5498145.59232,3136752.82424
1402416131285552958,,280,,1402416131,276400089,/ecef,,738762.427684,-5498145.41276,3136753.33909
1402416132287474559,,281,,1402416132,278333902,/ecef,,738762.378493,-5498145.06786,3136753.73959
1402416133288403641,,282,,1402416133,279256105,/ecef,,738762.353739,-5498144.71394,3136753.70363
1402416134288324842,,283,,1402416134,279129981,/ecef,,738762.467948,-5498144.70927,3136753.77464
1402416135288338189,,284,,1402416135,279197931,/ecef,,738762.525246,-5498144.59791,3136753.84955
