rosbagTimestamp,transforms,-,header,seq,stamp,secs,nsecs,frame_id,child_frame_id,transform,translation,x,y,z,rotation,x,y,z,w
1402416390677792792,,errorv,,0,,1402416390,677580223,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416390677865125,,errorv,,0,,1402416390,677605367,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390677989926,,errorv,,0,,1402416390,677611755,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390695120368,,errorv,,0,,1402416390,635142087,/enu,/base_link,,,5.45911599218,24.047982381,-21.2752904502,,-0.0157997323149,0.00283027217918,0.929905639146,-0.367447765408
1402416390695150493,,errorv,,0,,1402416390,645138978,/enu,/base_link,,,5.46164958224,24.0440064285,-21.2788970722,,-0.0157370952254,0.0031562784918,0.930039713378,-0.367108312735
1402416390695178164,,errorv,,0,,1402416390,655226945,/enu,/base_link,,,5.46415265959,24.0398897536,-21.282477864,,-0.0157485667748,0.0029747558232,0.930176460488,-0.366762710517
1402416390697692393,,errorv,,0,,1402416390,697495215,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416390697718466,,errorv,,0,,1402416390,697515562,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390697784991,,errorv,,0,,1402416390,697525045,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390697958750,,errorv,,0,,1402416390,797706104,/base_link,/gps,,,-0.84,0.0,-0.14,,0.0,0.0,0.0,1.0
1402416390698116435,,errorv,,0,,1402416390,797832606,base_link,imu,,,0.13,0.0,-0.1,,1.0,0.0,0.0,0.0
1402416390703285492,,errorv,,0,,1402416390,666102886,/enu,/base_link,,,5.4667448366,24.035711016,-21.2867298798,,-0.015709041211,0.00307031005101,0.930319264478,-0.366401235479
1402416390703323582,,errorv,,0,,1402416390,676103115,/enu,/base_link,,,5.46923819049,24.0317211749,-21.2904691147,,-0.0157440530787,0.00297342718214,0.930445368153,-0.366080183029
1402416390717791624,,errorv,,0,,1402416390,717489752,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416390717922403,,errorv,,0,,1402416390,717508950,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390717949118,,errorv,,0,,1402416390,717518662,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390737826990,,errorv,,0,,1402416390,737578656,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416390737860810,,errorv,,0,,1402416390,737666978,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390737895363,,errorv,,0,,1402416390,737680407,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390743054010,,errorv,,0,,1402416390,687102079,/enu,/base_link,,,5.4829808946,24.0015152191,-21.2193462871,,-0.0167893068839,0.00191433903562,0.930309495087,-0.366385995683
1402416390743080486,,errorv,,0,,1402416390,697078943,/enu,/base_link,,,5.48523698372,23.9973251161,-21.2230125833,,-0.0167408397136,0.00172376489208,0.930413282944,-0.366125519244
1402416390757713697,,errorv,,0,,1402416390,757513488,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416390757745558,,errorv,,0,,1402416390,757546181,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390757769058,,errorv,,0,,1402416390,757560005,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390777730650,,errorv,,0,,1402416390,777585346,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416390777756480,,errorv,,0,,1402416390,777597342,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390777858938,,errorv,,0,,1402416390,777601290,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390783176681,,errorv,,0,,1402416390,707073926,/enu,/base_link,,,5.48752734369,23.993120141,-21.2265229444,,-0.0167913748989,0.00203126419004,0.930527634354,-0.36583089727
1402416390783200561,,errorv,,0,,1402416390,718076944,/enu,/base_link,,,5.48989078515,23.9882805289,-21.230133316,,-0.0168259255947,0.00202102266963,0.930652455288,-0.365511711388
1402416390783219112,,errorv,,0,,1402416390,728065967,/enu,/base_link,,,5.49219422687,23.9840815638,-21.2337509957,,-0.0167538477437,0.00201194072207,0.930770503835,-0.365214361536
1402416390783368478,,errorv,,0,,1402416390,738105058,/enu,/base_link,,,5.49686228451,23.9678690512,-21.2107190748,,-0.0172100062172,0.00123805609866,0.930703912688,-0.365366268024
1402416390797718896,,errorv,,0,,1402416390,797526724,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416390798010875,,errorv,,0,,1402416390,897799193,/base_link,/gps,,,-0.84,0.0,-0.14,,0.0,0.0,0.0,1.0
1402416390798108711,,errorv,,0,,1402416390,797711535,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390798133518,,errorv,,0,,1402416390,797785936,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390798239535,,errorv,,0,,1402416390,897932502,base_link,imu,,,0.13,0.0,-0.1,,1.0,0.0,0.0,0.0
1402416390817866348,,errorv,,0,,1402416390,817676770,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416390817898055,,errorv,,0,,1402416390,817701018,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390817918961,,errorv,,0,,1402416390,817705877,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390823069778,,errorv,,0,,1402416390,749052047,/enu,/base_link,,,5.49901584693,23.9630392339,-21.214440783,,-0.0174856757993,0.00155863170031,0.930817746701,-0.365061836182
1402416390823213232,,errorv,,0,,1402416390,759099960,/enu,/base_link,,,5.50133353823,23.9585267931,-21.2179328657,,-0.0174536621807,0.00155443539289,0.930928992955,-0.364779609467
1402416390823369685,,errorv,,0,,1402416390,769038915,/enu,/base_link,,,5.50363238761,23.9541601821,-21.2215478337,,-0.017469177113,0.00163064963013,0.931028679265,-0.364524028314
1402416390823396570,,errorv,,0,,1402416390,780039072,/enu,/base_link,,,5.50563318458,23.9490880157,-21.2251173521,,-0.0177909048147,0.00185477512473,0.931164023621,-0.364161508989
1402416390837935325,,errorv,,0,,1402416390,837759349,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416390837967005,,errorv,,0,,1402416390,837789559,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390837992057,,errorv,,0,,1402416390,837797348,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390857755249,,errorv,,0,,1402416390,857515823,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416390857821439,,errorv,,0,,1402416390,857631757,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390857906931,,errorv,,0,,1402416390,857644512,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390863256281,,errorv,,0,,1402416390,790024995,/enu,/base_link,,,5.5185019758,23.9542441009,-21.1877528958,,-0.0164177596036,0.00245737906833,0.931514990189,-0.363323879633
1402416390863356057,,errorv,,0,,1402416390,800024986,/enu,/base_link,,,5.52072811337,23.9498299394,-21.190806752,,-0.0167932338134,0.00265175043645,0.931626938945,-0.363018184323
1402416390863381879,,errorv,,0,,1402416390,811024904,/enu,/base_link,,,5.52318972457,23.9451256938,-21.1943101166,,-0.0169735890165,0.00275623979398,0.931737581585,-0.36272493639
1402416390863404471,,errorv,,0,,1402416390,821022987,/enu,/base_link,,,5.5254431922,23.9409151798,-21.1975834738,,-0.0172277097991,0.00284856745364,0.931837969703,-0.362454259043
1402416390877816245,,errorv,,0,,1402416390,877514622,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416390877846821,,errorv,,0,,1402416390,877528104,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390877872043,,errorv,,0,,1402416390,877532080,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390897768765,,errorv,,0,,1402416390,897508485,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416390897808481,,errorv,,0,,1402416390,897630251,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390897830727,,errorv,,0,,1402416390,897643036,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390898126679,,errorv,,0,,1402416390,997914296,/base_link,/gps,,,-0.84,0.0,-0.14,,0.0,0.0,0.0,1.0
1402416390898216568,,errorv,,0,,1402416390,998032895,base_link,imu,,,0.13,0.0,-0.1,,1.0,0.0,0.0,0.0
1402416390903061787,,errorv,,0,,1402416390,831024885,/enu,/base_link,,,5.52786842327,23.936628127,-21.20091196,,-0.016932180982,0.00283260564723,0.931956037723,-0.362164632928
1402416390903295320,,errorv,,0,,1402416390,842025041,/enu,/base_link,,,5.53129651408,23.9923828791,-21.1740565254,,-0.0166003885497,0.00805413817376,0.932368255245,-0.36103877156
1402416390903323309,,errorv,,0,,1402416390,851999044,/enu,/base_link,,,5.53354589933,23.9892094369,-21.1770753533,,-0.0163183795817,0.00808068715763,0.93247635891,-0.360771746479
1402416390903341603,,errorv,,0,,1402416390,861994028,/enu,/base_link,,,5.53584577367,23.98617863,-21.1804513177,,-0.0165951954437,0.0080934801444,0.932565070424,-0.360529450242
1402416390903370114,,errorv,,0,,1402416390,872997045,/enu,/base_link,,,5.53824954743,23.9827993407,-21.1839818138,,-0.0167000571254,0.00815718157433,0.93267733773,-0.360232636176
1402416390917815511,,errorv,,0,,1402416390,917545948,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416390917842724,,errorv,,0,,1402416390,917579897,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390917863501,,errorv,,0,,1402416390,917588714,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390937764927,,errorv,,0,,1402416390,937476722,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416390937793969,,errorv,,0,,1402416390,937497725,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390937815032,,errorv,,0,,1402416390,937506629,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390943156273,,errorv,,0,,1402416390,882997035,/enu,/base_link,,,5.54028049845,23.9798805439,-21.1874260075,,-0.0171663066902,0.00818520993005,0.9327760569,-0.359954369228
1402416390943185954,,errorv,,0,,1402416390,893997907,/enu,/base_link,,,5.53676512569,23.9716025643,-21.2111986512,,-0.0175165159703,0.00776101110114,0.932738441666,-0.360044355341
1402416390943220853,,errorv,,0,,1402416390,903995990,/enu,/base_link,,,5.53899373919,23.9684673908,-21.2146527429,,-0.0178587100575,0.00770119791232,0.932837420952,-0.359772294787
1402416390951238856,,errorv,,0,,1402416390,913994073,/enu,/base_link,,,5.54101248853,23.9652728524,-21.217968647,,-0.0178609369905,0.00782936369738,0.932956467732,-0.359460592153
1402416390951261882,,errorv,,0,,1402416390,923996925,/enu,/base_link,,,5.54314038902,23.9620819719,-21.2213788853,,-0.0177462813408,0.00781650753726,0.933068721259,-0.359175073073
1402416390957779134,,errorv,,0,,1402416390,957549089,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416390957804244,,errorv,,0,,1402416390,957566206,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390957832319,,errorv,,0,,1402416390,957575948,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390977920337,,errorv,,0,,1402416390,977571251,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416390977948184,,errorv,,0,,1402416390,977603974,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390978088458,,errorv,,0,,1402416390,977611507,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390991132373,,errorv,,0,,1402416390,934997081,/enu,/base_link,,,5.52190631159,23.9684916753,-21.3227884491,,-0.0186241300442,0.00818200731361,0.933100821036,-0.359039070741
1402416390991160833,,errorv,,0,,1402416390,944997072,/enu,/base_link,,,5.52384231456,23.965478258,-21.3265306101,,-0.0182537250896,0.00823050077278,0.93322200927,-0.358741887422
1402416390997843584,,errorv,,0,,1402416390,997532091,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416390997872675,,errorv,,0,,1402416390,997554915,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390997894845,,errorv,,0,,1402416390,997561541,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416390998224073,,errorv,,0,,1402416391,98015261,/base_link,/gps,,,-0.84,0.0,-0.14,,0.0,0.0,0.0,1.0
1402416390998332615,,errorv,,0,,1402416391,98132020,base_link,imu,,,0.13,0.0,-0.1,,1.0,0.0,0.0,0.0
1402416391017723805,,errorv,,0,,1402416391,17542143,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
