rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,point,x,y,z
1402416438287668036,,359,,1402416438,278527021,/ecef,,738760.125558,-5498146.69804,3136753.65276
1402416439287639836,,360,,1402416439,278470993,/ecef,,738760.123681,-5498146.64482,3136753.65766
1402416440287614363,,361,,1402416440,278441905,/ecef,,738759.989164,-5498147.14919,3136752.69147
1402416441287542992,,362,,1402416441,278351068,/ecef,,738759.385882,-5498147.70128,3136751.79717
1402416443286413153,,363,,1402416443,277230978,/ecef,,738757.59449,-5498147.90741,3136750.99727
1402416444289372941,,364,,1402416444,280249118,/ecef,,738756.975441,-5498147.5161,3136751.18965
1402416445290357464,,365,,1402416445,281188964,/ecef,,738756.364731,-5498146.99483,3136751.69483
1402416446289328505,,366,,1402416446,280172109,/ecef,,738756.022898,-5498146.12756,3136752.09725
1402416447289249462,,367,,1402416447,280041933,/ecef,,738756.038104,-5498145.98058,3136752.7779
1402416448289133989,,368,,1402416448,279973983,/ecef,,738756.197692,-5498145.61892,3136753.17015
